epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6615,1.00473,0.75961,0.9504,0.69868,0.54772,0.58653,0.43817,0.99225,1.09821,1.01899,0.000184524,0.000184524,0.000184524
2,112.503,1.00604,0.73957,0.94646,0.49585,0.65992,0.56818,0.40845,1,1.06639,1.03908,0.000362534,0.000362534,0.000362534
3,168.06,1.01663,0.7427,0.94769,0.62764,0.55524,0.57012,0.41507,1.03421,1.05987,1.03709,0.000533205,0.000533205,0.000533205
4,223.387,1.02211,0.74521,0.95096,0.57273,0.55388,0.52668,0.38638,0.97783,0.99022,1.01989,0.000522974,0.000522974,0.000522974
5,278.728,1.02073,0.7465,0.95181,0.64251,0.49034,0.54547,0.37996,1.07825,1.06869,1.05945,0.000511965,0.000511965,0.000511965
6,334.352,1.00816,0.72863,0.94718,0.61613,0.57884,0.56224,0.41961,1.00134,1.02204,1.02607,0.000500956,0.000500956,0.000500956
7,390.104,1.00422,0.71837,0.94216,0.61183,0.59725,0.57289,0.41986,0.9784,0.99369,1.01991,0.000489947,0.000489947,0.000489947
8,445.207,1.00141,0.71181,0.94287,0.59037,0.57808,0.56596,0.40846,1.00626,0.99662,1.02633,0.000478938,0.000478938,0.000478938
9,500.631,0.98957,0.70976,0.93965,0.63666,0.57923,0.56746,0.42141,0.96387,0.99747,1.01363,0.00046793,0.00046793,0.00046793
10,556.274,0.98658,0.70133,0.93909,0.6196,0.5572,0.55683,0.40712,0.98605,0.9885,1.0202,0.000456921,0.000456921,0.000456921
11,611.728,0.98916,0.70747,0.94087,0.62733,0.53795,0.55362,0.39938,0.99684,0.97288,1.01282,0.000445912,0.000445912,0.000445912
